nomis_agency_id,postcode
MRS5,CH41 8BA
SRY4,GU22 7SY
WMP5,WV1 3AA
MPS29,N22 8GZ
WWM7,WR1 2HQ
CMB4,CA14 4EH
SUS3,BN13 2PQ
NFL3,NR18 0WZ
NYK3,YO10 4BY
GWN2,CF82 7SF
ADDENH,CB2 0QQ
BIRING,OL8 4EF
ALPHOS,BL8 2BS
ALPHHO,S2 3PX
ALPHA,GU21 2QS
STCATH,DN4 8QN
ANESLY,NG15 0AR
DELHPK,WA2 8TR
ARDEN,B24 9SA
ARNOLD,LE5 0LE
ASHEHO,BN27 4EP
ASYHSE,TF9 4LX
ASHWTH,L31 1HW
AVESHO,N18 1PQ.
AVONHO,EX7 ONR
STNLAS,NE3 3XT
BARTHO,CO4 5HF
BARUHO,BA1 3NG
BATTHO,SW11 3TG
BEECHO,CB8 7LF
BIGFHO,M13 0XE
BIAUHO,DL14 6AD
BLUBHO,SO40 2RZ  
BOPIHO,PE21 9QS
BRATON,DA2 7AF
LAMBTH,SW9 9NT
BRCHHO,BS2 8BJ
BRRIHO,BS2 8HW
BRLAND,NR13 5EW
BROCHO,SS11 7FE
BROOHO,CM1 7ET
BURSHO,IP22 5TU
BUTLHO,EX7 ONR
CALVHO,NG5 8PT
CAMLDG,EN2 8JL
CEDAHO,CT4 6PW
CEDUHO,CO45HG
CHWICK,MK6 5LS
CHARHO,M6 7DU
CHASHO,CM21 0AS
CHERRY,NR17 1AE
CHESHO,DN5 8AR
CLIFHO,YO30 5RA
COASHO,NR30 4NX
HMRTON,E9 6SR
COUNHO,HU6 8QG
CYGNHO,SG1 4YS
CYTWKE,BD12 8LR
CYGWHO,SE10 8AD
CYGBHO,BD4 6AD
DAMEHO,DL3 6HX
DEACHO,AL3 5PN
DOULHO,NG34 9SJ
STCLEM,IP3 8LS
EDENFD,M25 3BL
ERICS,WD5 0HT
STJAMS,PO4 8LD
FRMILE,RH6 0BN
FARNHO,BR6 8ND
FARMFD,NG24 4SW
HERBRT,BH4 8EP 
FSTLDG,S35 0BJ
FRANHO,LN2 5UA
BLACKB,BS16 2EW
GRGMAC,CB1 5EF
GERRHO,B71 2BG
GLOHOS,BB7 4HX 
GLENHO,ME14 5DX
GRADHO,NG31 8DG
GLDLDG,PR3 2AZ
HAMPHO,PR5 6AQ
BOWDEN,HA1 3JL 
HTHRTN,ST16 3AG
HAWIHO,ST6 7AG
HAZEHO,SE18 3 RG
HAZLWD,S44 5QS
HERLDG,NR6 5BE  
GLNFLD,LE3 9DZ
HILLIH,UB8 3NN
HILLHO,B31 5HE
CHEADL,SK8 3DG
HOPTHO,SW16 2EQ
HUMBER,HU10 6ED
JTSHAW,B37 7HL
JHWARD,E9 5TD
KNGSWY,DE22 3LZ
KSWRTH,SG8 5JP
LNGFRD,TN40 2JE
LEEMIL,PL21 9HL
LEGEHO,LS1 3SX
LESEHO,LS2 8NG
LEMOHO,ST13 5BQ
LICOHO,LN2 5QY
LNDHSE,YO43 4LA
LISTEV,SG1 4AB
LANDUH,MK40 2NS
MARLHO,MK6 5LD
MYDENB,SK10 4SY
MEAVHO,DN21 5UD
MEADHO,NR7 0SN
BETHLM,BR3 3BX
MIDSTG,DL2 1TS
MILTON,NR13 6HA
MONTHO,GL1 3WL
NEPTHO,PO19 4GU
CASTLE,HD4 5RQ
NEWSAM,LS14 6WB
NEWTON,WF1 3SP 
LANRTH,NP15 2YD
LYNFED,BD9 6DP
MWBHOS,M6 8HG
MLLVEW,BN3 7HY
PRKHOS, M8 5RB
NWLMHO,GL1 3WL
NRTHGT,NE61 3BP
REDFRD,N9 9DY
NUNGHO,NN1 5BD
NGENHO,S5 7AU
NORVIC,NR7 0HT
OAKTHO,CO16 0BX
LTLEMR,OX4 4XN
PAPWOH,CB2 0AY
TMSIDE,OL6 9RW
RATHBN,L13 4AW
RAVNSW,PO17 5NA
RESDIE,B45 9BE
REGEHO,CH60 9LE
RDENHO,LS7 3EX
RIDGHO,LA1 3JR
BETHOS,BR3 3BX
ROBIHO,LU4 OFB
ROWAHO,NR10 5RH 
RSTUHO,ST4 6QG
RSTCHO,CV22 5PX
STROHO,M6 8HD
SCCLNC,WA9 5BD
SPRFLD,SW17 7DJ
SHCHHO,S10 2TH
SOLOHO,SO40 2RZ
SOBEDH,MK42 9DJ
STABHO,B30 2XR
STANDW,NN1 5DG
STAEHO,SS12 9JP
STJUHO,LS9 7TF
STJOHN,IP22 1BA
STMAHO,GU27 3PX
STMYHO,WA2 8DB
STMBHO,WA2 8DB
SCKTON,YO32 9UN
STANSD,BH13 7LN
SUTTHO,RM4 1SR
TAREHO,DA2 6PB
THEDEN,BN6 9LE
EALING,UB1 3EU
TSPNY,M46 9NT
THEWHO,ST10 4QU
THRNFD,RG19 8ET
THORS,CO7 8JJ
TOWEHO, E1 4DG
TREVOR,ME16 9PH
UHCHOS,CV2 2DX
UONDHO,DH1 5TW
WARDHO,SW9 9NU
WATLOO, LS25 1NA
WATHHO,S63 6HT
WELLHO,NG3 6AA
WESTHO,TS5 4EE
WHARHO,LS21 2LY
WOODHO,HP20 1EG
WODLHO,MK43 8HJ
CALDER,BB7 9PE
YCHCHO,LS19 7PS
YEWTHO,CO13 0BE
BROIRC,RH6 0PQ
CAMIRC,OX5 1RE
HARIRC,UB7 0HB
DUNIRC,ML10 6RF
HMWIRC,UB7 0HB
LARIRC,BT40 1UR
MORIRC,LN6 9PT
PENIRC,M90 4AG
TINIRC,RH6 0PQ
YARIRC,MK41 6HL
